key,en-GB,spa-ES,fre-FR,por-PT,ita-IT,ger-DE,gre,tur,afr
"You can't do that right now, this child is currently logged in.","You can't do that right now, this child is currently logged in.","No puedes hacer eso ahora mismo, este menor está conectado en estos momentos.","Action impossible actuellement, cet enfant est connecté.","Neste momento não pode fazer isso, esta criança tem sessão iniciada.","Impossibile procedere al momento, questo bambino è al momento collegato.","Das können Sie gerade nicht tun, dieses Kind ist aktuell angemeldet.",Δεν μπορείτε να το κάνετε αυτό τώρα. Το παιδί αυτό είναι συνδεδεμένο αυτήν τη στιγμή.,Bu işlemi şu anda gerçekleştiremiyorsunuz; çocuk şu anda oturum açmış.,"Jy kan dit nie nou doen nie, hierdie kind is tans aangemeld."
help@azoomee.com,help@azoomee.com,help@azoomee.com,help@azoomee.com,help@azoomee.com,help@azoomee.com,help@azoomee.com,help@azoomee.com,help@azoomee.com,help@azoomee.com
mailto:help@azoomee.com,mailto:help@azoomee.com,mailto:help@azoomee.com,mailto:help@azoomee.com,mailto:help@azoomee.com,mailto:help@azoomee.com,mailto:help@azoomee.com,mailto:help@azoomee.com,mailto:help@azoomee.com,mailto:help@azoomee.com
support.azoomee.com,support.azoomee.com,support.azoomee.com,support.azoomee.com,support.azoomee.com,support.azoomee.com,support.azoomee.com,support.azoomee.com,support.azoomee.com,support.azoomee.com
http://support.azoomee.com,http://support.azoomee.com,http://support.azoomee.com,http://support.azoomee.com,http://support.azoomee.com,http://support.azoomee.com,http://support.azoomee.com,http://support.azoomee.com,http://support.azoomee.com,http://support.azoomee.com
Added to favourites,Added to favourites,Añadido a favoritos,Ajouté au favoris,Adicionado aos favoritos,Aggiunto ai favoriti,Zu Favoriten hinzugefügt,Προστέθηκε στα αγαπημένα,Favorilere eklendi,By gunstelinge gevoeg
Create your family account,Create your family account,Crear tu cuenta familiar,Créer votre compte familial,Criar uma conta para a sua família,Crea il tuo account di famiglia,Erstellen Sie Ihr Familienkonto,Δημιουργία οικογενειακού λογαριασμού,Aile hesabınızı oluşturun,Skep jou gesinsrekening
Confirm this is your email address,Confirm this is your email address,Confirmar que esta es tu dirección de correo electrónico,Confirmez votre adresse e-mail,Confirme que este é o seu endereço de email,Conferma che questo è il tuo indirizzo e-mail,"Bestätigen Sie, dass dies Ihre E-Mail-Adresse ist",Επιβεβαίωση της διεύθυνσης email σας,Bunun sizin e-posta adresiniz olduğunu onaylayın,Bevestig dat dit jou e-posadres is
Create a password,Create a password,Crear una contraseña,Créer un mot de passe,Criar uma password,Crea una password,Passwort erstellen,Δημιουργία κωδικού πρόσβασης,Bir parola oluşturun,Skep ’n wagwoord
Set up a 4-digit PIN,Set up a 4-digit PIN,Configurar un PIN de 4 cifras,Définir un code PIN à 4 chiffres,Crie um PIN de 4 dígitos,Configura un PIN di 4 cifre,Erstellen Sie ein 4-stelliges Passwort,Δημιουργία PIN 4 ψηφίων,4 basamaklı bir PIN belirleyin,Stel ’n 4-syfer PIN op
You are over 18,You are over 18,Tienes más de 18 años,Vous avez plus de 18 ans,Tem mais de 18 anos,Hai più di 18 anni,Sie sind über 18 Jahre,Είστε άνω των 18 ετών,18 yaşından büyüksünüz,Jy is ouer as 18
What is <val1> x <val2>?,What is <val1> x <val2>?,¿Cuánto es <val1> x <val2>?,Combien font <val1> x <val2> ?,Quanto é <val1> x <val2>?,Cos’è <val1> x <val2>?,Was ist <val1> x <val2>?,Τι είναι <val1> x <val2>;,<val1> x <val2> nedir?,Wat is <val1> x <val2>?
Pick your language,Pick your language,Escoge tu idioma,Sélectionnez votre langue,Escolha o seu idioma,Seleziona lingua,Sprache wählen,Επιλογή γλώσσας,Dilinizi seçin,Kies jou taal
"Set up complete. Your voucher has been added, valid until","Set up complete. Your voucher has been added, valid until","Configuración completada. Se ha añadido tu cupón, válido hasta","Création effectuée. Votre bon d'achat a été ajouté, valide jusqu'à","Configuração concluída. O seu voucher foi adicionado, válido até","Configurazione completata. Il tuo voucher è stato aggiunto, valido fino","Einrichtung abgeschlossen. Ihr Gutschein wurde hinzugefügt, gültig bis","Η δημιουργία ολοκληρώθηκε. Το κουπόνι σας προστέθηκε, ισχύει έως","Kurulum tamamlandı. Kuponunuz eklendi, son geçerlilik tarihi:","Aanmelding is voltooi. Jou geskenkbewys is bygevoeg, geldig tot"
Type here...,Type here...,Escriba aquí...,Écrivez ici...,Digite aqui...,Digitare qui...,Hier eingeben ...,Πληκτρολογίστε εδώ...,Buraya yaz...,Tik hier ...
Share your kid code,Share your kid code,Comparte tu código de niño,Partagez votre code enfant,Compartilhe seu código infantil,Condividi il tuo codice bambino,Teilen Sie Ihren Kindercode,Μοιραστείτε τον παιδικό σας κώδικα,Çocuk kodunuzu paylaşın,Deel jou kindkode
There was a problem. Please try again later or contact customer support,There was a problem. Please try again later or contact customer support,"Había un problema. Por favor, intente de nuevo más tarde o póngase en contacto con el servicio de atención al cliente",Il y avait un problème. Veuillez réessayer ultérieurement ou contacter le support client.,"Havia um problema. Por favor, tente novamente mais tarde ou entre em contato com o suporte ao cliente",C'era un problema. Si prega di riprovare più tardi o contattare l'assistenza clienti,Es gab ein Problem. Bitte versuchen Sie es später erneut oder wenden Sie sich an den Kundendienst,Υπήρξε ένα πρόβλημα. Δοκιμάστε ξανά αργότερα ή επικοινωνήστε με την υποστήριξη πελατών,Bir problem vardı. Lütfen daha sonra tekrar deneyin veya müşteri desteğiyle iletişim kurun,Daar was 'n probleem. Probeer asseblief later weer of kontak kliënteondersteuning
Choose a plan,Choose a plan,Elige un plan,Choisissez un plan,Escolha um plano,Scegli un piano,Wähle einen Plan,Επιλέξτε ένα σχέδιο,Bir plan seç,Kies 'n plan
Learn to communicate safely with Azoomee Chat,Learn to communicate safely with Azoomee Chat,Aprende a comunicarte de forma segura con Azoomee Chat,Apprenez à communiquer en toute sécurité avec Azoomee Chat,Aprenda a se comunicar com segurança com o Azoomee Chat,Impara a comunicare in modo sicuro con Azoomee Chat,"Lernen Sie, mit Azoomee Chat sicher zu kommunizieren",Μάθετε να επικοινωνείτε με ασφάλεια με την Azoomee Chat,Azoomee Sohbeti ile güvenli bir şekilde iletişim kurmayı öğrenin,Leer om veilig met Azoomee Chat te kommunikeer
vodacomPromotionalVoucherString,"Limited time only: enter the voucher code ""LEARN14"" below for 2 weeks of free access!","Solo por tiempo limitado: ingrese el siguiente código de cupón ""LEARN14"" durante 2 semanas de acceso gratuito.","Durée limitée: entrez le code de bon d'achat ""LEARN14"" ci-dessous pour deux semaines d'accès gratuit!","Apenas por tempo limitado: insira o código do voucher ""LEARN14"" abaixo para 2 semanas de acesso gratuito!","Solo per un periodo di tempo limitato: inserisci il codice del buono ""LEARN14"" qui sotto per 2 settimane di accesso gratuito!","Nur für begrenzte Zeit: Geben Sie den Gutscheincode ""LEARN14"" für 2 Wochen freien Zugang ein!","Μόνο περιορισμένος χρόνος: εισάγετε τον κωδικό κουπονιού ""LEARN14"" παρακάτω για 2 εβδομάδες ελεύθερης πρόσβασης!","Yalnızca sınırlı bir süre: 2 haftalık ücretsiz erişim için aşağıdaki ""LEARN14"" kupon kodunu girin!","Slegs beperkte tyd: voer die voucher kode ""LEARN14"" hieronder in vir 2 weke gratis toegang!"
Authentication Failed,Authentication Failed,Autenticación fallida,Authentification échouée,Falha na autenticação,Autenticazione fallita,Authentifizierung fehlgeschlagen,Η ταυτοποίηση απέτυχε,Kimlik doğrulama başarısız oldu,Verifikasie misluk
Oops! Biometric authentication failed.,Oops! Biometric authentication failed.,Ups! La autenticación biométrica falló.,Oops! L'authentification biométrique a échoué.,Opa! Autenticação biométrica falhou.,Oops! Autenticazione biometrica non riuscita.,Hoppla! Die biometrische Authentifizierung ist fehlgeschlagen.,Ωχ! Ο βιομετρικός έλεγχος ταυτότητας απέτυχε.,Hata! Biyometrik kimlik doğrulama başarısız oldu.,Oeps! Biometriese verifikasie het misluk.
Biometric Authentication,Biometric Authentication,Autenticación biométrica,Authentification biométrique,Autenticação Biométrica,Autenticazione biometrica,Biometrische Authentifizierung,Βιομετρικό έλεγχο ταυτότητας,Biyometrik Kimlik Doğrulama,Biometriese verifikasie
Do you want to use your fingerprint or facial ID to enter your PIN in the future?,Do you want to use your fingerprint or facial ID to enter your PIN in the future?,¿Desea usar su huella digital o su identificación facial para ingresar su PIN en el futuro?,Souhaitez-vous utiliser votre empreinte digitale ou votre identifiant facial pour entrer votre NIP ultérieurement?,Deseja usar sua impressão digital ou identificação facial para inserir seu PIN no futuro?,Vuoi utilizzare l'impronta digitale o l'ID facciale per inserire il PIN in futuro?,"Möchten Sie Ihren Fingerabdruck oder Ihre Gesichts-ID verwenden, um in Zukunft Ihre PIN einzugeben?",Θέλετε να χρησιμοποιήσετε το δακτυλικό αποτύπωμα ή το αναγνωριστικό προσώπου σας για να εισάγετε το PIN σας στο μέλλον;,PIN'inizi girmek için parmak izinizi veya yüz kimliğinizi kullanmak ister misiniz?,Wil jy jou vingerafdruk of gesig ID gebruik om jou PIN in die toekoms in te voer?
Waiting for authentication,Waiting for authentication,Esperando autenticación,En attente d'authentification,Aguardando autenticação,In attesa di autenticazione,Warten auf Authentifizierung,Αναμονή για έλεγχο ταυτότητας,Kimlik doğrulaması bekleniyor,Wag vir verifikasie
Please authenticate yourself to access parents area,Please authenticate yourself to access parents area,"Por favor, autentíquese para acceder al área de padres.",Veuillez vous authentifier pour accéder à la zone parents,"Por favor, autentique-se para acessar a área dos pais",Si prega di autenticarsi per accedere all'area dei genitori,"Bitte authentifizieren Sie sich, um Zugang zum Elternbereich zu erhalten",Παρακαλώ επαληθεύστε τον εαυτό σας για να αποκτήσετε πρόσβαση στην περιοχή γονέων,Ebeveyn bölgesine erişmek için lütfen kendinizi doğrulayın,Verifieer jouself asseblief om toegang tot ouers te kry
Please use Touch ID or Face ID to enter your PIN.,Please use Touch ID or Face ID to enter your PIN.,Utilice Touch ID o Face ID para ingresar su PIN.,Veuillez utiliser Touch ID ou Face ID pour entrer votre code PIN.,"Por favor, use o Touch ID ou o Face ID para digitar o seu PIN.",Utilizzare Touch ID o Face ID per inserire il PIN.,"Bitte verwenden Sie Touch ID oder Face ID, um Ihre PIN einzugeben.",Χρησιμοποιήστε το αναγνωριστικό οθόνης ή το αναγνωριστικό προσώπου για να εισαγάγετε το PIN σας.,PIN'inizi girmek için lütfen Dokunmatik Kimlik veya Yüz Kimliği'ni kullanın.,Gebruik asseblief Touch ID of Face ID om jou PIN in te voer.
Get 7 Days free,Get 7 Days free,Consigue 7 días gratis,Obtenez 7 jours gratuits,Obtenha 7 dias grátis,Ottieni 7 giorni gratis,Erhalten Sie 7 Tage kostenlos,Αποκτήστε δωρεάν 7 ημέρες,7 Gün ücretsiz kazanın,Kry 7 dae gratis
Plan automatically renews for %s/month after trial ends,Plan automatically renews for %s/month after trial ends,El plan se renueva automáticamente por %s / mes después de que finalice la prueba,Le plan est automatiquement renouvelé à %s / mois après la fin de l'essai,O plano renova automaticamente para %s / mês após o término da avaliação,Il piano si rinnova automaticamente per %s / mese al termine della prova,Nach Ablauf der Testphase verlängert sich der Plan automatisch um %s / Monat,Το σχέδιο ανανεώνεται αυτόματα για %s / μήνα μετά τη λήξη της δοκιμής,"Plan, deneme sona erdikten sonra otomatik olarak %s / ay boyunca yenilenir",Plan hernu outomaties vir %s/maand na proeflopie eindig
This subscription automatically renews for <iapPrice> a month after the 7 day free trial. You can cancel anytime. By signing up for a free trial you agree to Azoomee’s Terms of Service and Privacy Policy.,This subscription automatically renews for <iapPrice> a month after the 7 day free trial. You can cancel anytime. By signing up for a free trial you agree to Azoomee’s Terms of Service and Privacy Policy.,"Esta suscripción se renueva automáticamente para <iapPrice> un mes después de la prueba gratuita de 7 días. Puedes cancelar en cualquier momento. Al suscribirse a una prueba gratuita, usted acepta los Términos de servicio y la Política de privacidad de Azoomee.","Cet abonnement est automatiquement renouvelé pour <iapPrice> un mois après la période d’essai gratuite de 7 jours. Vous pouvez annuler à tout moment. En vous inscrivant à un essai gratuit, vous acceptez les conditions d'utilisation et la politique de confidentialité de Azoomee.","Essa assinatura é renovada automaticamente por <iapPrice> um mês após o período de avaliação gratuita de 7 dias. Você pode cancelar a qualquer momento. Ao inscrever-se para uma avaliação gratuita, você concorda com os Termos de Serviço e a Política de Privacidade da Azoomee.",Questo abbonamento si rinnova automaticamente per <prezzo iap> un mese dopo la prova gratuita di 7 giorni. Puoi annullare in qualsiasi momento. Iscrivendoti a una prova gratuita accetti i Termini di servizio e l'Informativa sulla privacy di Azoomee.,Dieses Abonnement verlängert sich automatisch für <iapPrice> einen Monat nach der 7-tägigen kostenlosen Testversion. Sie können jederzeit kündigen. Mit der Anmeldung für eine kostenlose Testversion stimmen Sie den Azoomee-Nutzungsbedingungen und den Datenschutzbestimmungen zu.,Αυτή η συνδρομή ανανεώνεται αυτόματα για το <iapPrice> ένα μήνα μετά τη δωρεάν δοκιμή 7 ημερών. Μπορείτε να ακυρώσετε οποιαδήποτε στιγμή. Με την εγγραφή σας για δωρεάν δοκιμή συμφωνείτε με τους Όρους Παροχής Υπηρεσιών και την Πολιτική Απορρήτου της Azoomee.,"Bu abonelik, 7 günlük ücretsiz denemeden bir ay sonra otomatik olarak <iapPrice> için yenilenir. İstediğiniz zaman iptal edebilirsiniz. Ücretsiz deneme sürümüne kaydolarak Azoomee’nin Hizmet Şartları ve Gizlilik Politikası’nı kabul etmiş olursunuz.","Hierdie inskrywing hernu outomaties vir <iapPrice> 'n maand na die 7 dae gratis toets. U kan enige tyd kanselleer. Deur in te skryf vir 'n gratis toets, stem jy in tot Azoomee se diensbepalings en privaatheidsbeleid."
